Date, Open, High, Low, Close
2022-06-17,3079.97,3101.77,3072.34,3098.09
2022-06-16,3134.06,3150.11,3094.57,3097.43
2022-06-15,3104.62,3128.58,3104.19,3105.85
2022-06-14,3124.25,3125.37,3104.39,3108.89
2022-06-13,3161.61,3165.54,3138.54,3139.35
2022-06-10,3189.5,3192.56,3176.17,3181.73
2022-06-09,3219.12,3225.26,3198.38,3209.62
2022-06-08,3233.99,3241.8,3220.67,3225.8
2022-06-07,3224.46,3231.54,3214.34,3231.54
2022-06-06,3228.47,3233.96,3216.12,3226.63
2022-06-03,3236.7,3245.18,3224.89,3231.97
2022-06-02,3233.05,3243.76,3217.75,3226.72
2022-06-01,3242.92,3253.15,3237.31,3244.0
2022-05-31,3236.99,3263.11,3232.49,3232.49
2022-05-30,3240.16,3246.62,3228.65,3238.92
2022-05-27,3232.72,3233.73,3218.72,3230.55
2022-05-26,3203.38,3217.88,3201.05,3209.18
2022-05-25,3198.11,3208.97,3172.19,3179.58
2022-05-24,3216.91,3224.74,3195.04,3195.04
2022-05-23,3246.51,3251.61,3213.65,3213.65
2022-05-20,3214.02,3246.13,3210.75,3240.58
2022-05-19,3194.66,3218.14,3177.09,3190.71
2022-05-18,3219.98,3241.83,3214.14,3225.35
2022-05-17,3199.73,3218.74,3190.92,3201.89
2022-05-13,3196.1,3213.22,3189.68,3191.16
2022-05-12,3205.51,3216.73,3165.18,3165.18
2022-05-11,3220.53,3232.06,3210.67,3226.07
2022-05-10,3251.04,3251.31,3226.5,3234.19
2022-05-09,3279.36,3294.88,3270.73,3275.07
2022-05-06,3295.92,3305.72,3289.92,3291.89
2022-05-05,3371.24,3373.15,3338.61,3343.57
2022-05-04,3365.43,3366.93,3342.91,3349.27
2022-04-29,3368.1,3389.64,3344.68,3356.9
2022-04-28,3315.75,3344.24,3315.07,3335.09
2022-04-27,3313.08,3322.85,3308.03,3320.67
2022-04-26,3343.15,3350.44,3322.05,3322.05
2022-04-25,3334.53,3356.66,3329.77,3339.59
2022-04-22,3325.89,3365.21,3312.97,3361.11
2022-04-21,3345.15,3359.62,3337.04,3348.46
2022-04-20,3324.77,3344.79,3322.41,3335.32
2022-04-19,3320.53,3344.66,3307.13,3307.13
2022-04-18,3327.16,3330.3,3303.07,3303.07
2022-04-14,3342.68,3359.54,3334.07,3335.85
2022-04-13,3342.89,3356.66,3340.21,3342.22
2022-04-12,3347.1,3357.46,3330.25,3330.25
2022-04-11,3368.18,3374.85,3349.25,3363.56
2022-04-08,3400.52,3402.63,3374.34,3383.28
2022-04-07,3402.78,3415.34,3395.56,3404.23
2022-04-06,3432.67,3445.9,3419.56,3422.95
2022-04-05,3426.09,3445.01,3425.93,3445.01
2022-04-04,3418.72,3424.79,3414.82,3416.97
2022-04-01,3403.93,3425.37,3399.48,3419.11
2022-03-31,3443.17,3449.53,3408.52,3408.52
2022-03-30,3448.73,3448.81,3431.87,3442.61
2022-03-29,3442.2,3456.09,3413.35,3433.9
2022-03-28,3412.55,3433.57,3408.34,3431.99
2022-03-25,3397.36,3421.97,3396.77,3413.69
2022-03-24,3353.22,3402.14,3351.52,3399.7
2022-03-23,3359.92,3370.8,3357.48,3364.26
2022-03-22,3349.54,3365.6,3343.42,3350.17
2022-03-21,3345.86,3355.51,3355.51,3355.51
2022-03-18,3333.23,3346.37,3313.87,3330.63
2022-03-17,3341.03,3345.92,3294.78,3322.71
2022-03-16,3276.47,3298.14,3262.15,3290.9
2022-03-15,3236.47,3265.9,3227.88,3236.04
2022-03-14,3242.74,3250.82,3222.0,3232.03
2022-03-11,3230.28,3251.34,3217.56,3249.66
2022-03-10,3231.89,3258.94,3227.61,3240.73
2022-03-09,3136.8,3203.38,3136.49,3195.38
2022-03-08,3175.29,3182.35,3128.06,3148.86
2022-03-07,3205.3,3222.61,3186.01,3187.82
2022-03-04,3235.29,3253.14,3207.83,3226.78
2022-03-03,3264.96,3273.99,3253.65,3253.65
2022-03-02,3262.05,3279.97,3243.94,3244.4
2022-03-01,3262.49,3288.38,3260.96,3278.63
2022-02-28,3298.52,3301.08,3214.93,3242.24
